Id,Cusp_ID,Cycloid_Nu,Confidence,CompassA,Lat_dd,Long_dd
14,37,13,2,318.8140748,-4.247,27.987
5,38,13,1,82.69424047,5.972,-19.984
5,38,13,1,321.1155036,6.062,-20.336
6,39,13,1,70.40771811,5.614,-16.895
6,39,13,1,307.0928373,5.666,-17.244
7,40,13,1,56.59217541,5.218,-12.312
7,40,13,1,301.3902681,5.256,-12.685
8,41,13,1,71.86191784,5.154,-7.546
8,41,13,1,303.2065703,5.215,-7.933
9,42,13,1,83.65980825,4.269,-1.435
9,42,13,1,317.9356734,4.42,-1.773
10,43,13,1,89.42127443,1.614,6.082
10,43,13,1,331.3268535,1.838,5.64
11,44,13,1,79.79602628,0.892,9.637
11,44,13,1,297.897271,0.973,9.285
12,45,13,1,72.1496817,-0.634,14.1
12,45,13,1,316.397181,-0.544,13.748
1,46,14,1,85.42607874,-5.737,-38.994
1,46,14,1,227.1210964,-5.81,-39.183
2,47,14,1,108.4349488,-5.218,-37.693
2,47,14,1,230.1944289,-5.267,-37.853
3,48,14,1,91.78991061,-3.908,-35.912
3,48,14,1,211.6075022,-4.029,-36.145
4,49,14,1,72.80145878,-3.184,-34.406
4,49,14,1,213.6900675,-3.34,-34.631
5,50,14,1,98.13010235,-2.474,-33.161
5,50,14,1,233.1301024,-2.536,-33.365
6,51,14,1,84.40066066,-0.585,-30.996
6,51,14,1,202.5205656,-0.804,-31.301
7,52,14,1,66.27960443,3.185,-28.146
7,52,14,1,180,2.828,-28.452
1,53,15,1,81.72410717,-7.248,-41.251
1,53,15,1,217.4505782,-7.472,-41.609
1,54,16,1,146.0702026,-2.398,-41.188
1,54,16,1,266.8636416,-2.275,-41.452
2,55,16,1,143.5691419,-3.537,-35.348
2,55,16,1,259.4608163,-3.409,-35.693
3,56,16,1,149.5804204,-5.678,-30.049
3,56,16,1,253.0091767,-5.497,-30.425
1,57,17,1,152.730528,-6.9,-34.685
1,57,17,1,261.098284,-6.725,-35.001
1,58,18,1,145.713123,-7.801,-39.295
1,58,18,1,239.7435628,-7.732,-39.63
2,59,18,1,152.102729,-8.671,-34.823
2,59,18,1,255.9637565,-8.514,-35.205
3,60,18,1,131.1859252,-9.362,-28.545
3,60,18,1,252.2553284,-9.337,-29.036
1,61,19,3,108.4349488,-10.445,-30.69
1,61,19,3,252.9430344,-10.492,-31.158
2,62,19,3,119.1342922,-10.099,-28.162
2,62,19,3,251.5650512,-10.041,-28.55
3,63,19,3,101.1291893,-10.233,-26.462
3,63,19,3,250.2531634,-10.262,-26.841
4,64,19,3,92.86240523,-9.438,-24.101
4,64,19,3,223.0908476,-9.548,-24.442
1,65,20,1,115.4633451,-3.838,-21.45
1,65,20,1,254.0546041,-3.814,-21.723
1,66,21,1,121.5347919,-3.206,-15.802
1,66,21,1,244.093492,-3.189,-16.102
1,67,22,1,84.42136374,-1.911,-22.046
1,67,22,1,202.6198649,-2.255,-22.609
2,68,22,3,90,-0.469,-15.511
2,68,22,3,239.0362435,-0.586,-15.872
1,69,23,1,67.24902366,1.22,-27.556
1,69,23,1,301.3286929,1.217,-27.783
2,70,23,1,73.85566122,1.162,-23.518
2,70,23,1,303.2317111,1.191,-23.789
3,71,23,1,80.07375449,0.725,-19.314
3,71,23,1,310.2363583,0.781,-19.576
4,72,23,1,84.09385889,0.152,-14.848
4,72,23,1,311.8201699,0.196,-15.13
5,73,23,1,86.42366562,-0.526,-10.783
5,73,23,1,322.431408,-0.43,-11.045
6,74,23,1,78.366366,-1.196,-6.346
6,74,23,1,310.4622275,-1.15,-6.626
7,75,23,1,90,-2.369,-0.591
7,75,23,1,338.5522637,-2.253,-0.853
8,76,23,1,90,-4.821,6.324
8,76,23,1,334.5366549,-4.614,6.027
9,77,23,1,96.51980175,-7.959,13.952
9,77,23,1,331.5257964,-7.729,13.579
10,78,23,1,106.6069806,-11.275,21.583
10,78,23,1,337.6198649,-11.037,21.286
11,79,23,1,103.5704344,-13.401,27.959
11,79,23,1,340.974394,-13.238,27.764
1,80,24,1,120.1413856,-13.44,-19.448
1,80,24,1,232.8152935,-13.45,-19.943
2,81,24,3,83.41805534,-9.85,-13.271
2,81,24,3,226.0416267,-10.32,-14.328
3,82,24,1,75.67728002,-5.162,-6.482
3,82,24,1,195.524111,-5.424,-6.841
4,83,24,1,107.7446716,-0.126,2.155
4,83,24,1,225.881404,-0.271,1.738
1,84,25,3,110.3764352,-11.074,-4.317
1,84,25,3,255.5792269,-11.096,-4.688
1,85,26,1,59.74356284,-5.85,2.038
1,85,26,1,315,-5.84,1.817
2,86,26,1,88.91907581,-6.49,7.484
2,86,26,1,326.3099325,-6.381,7.244
3,87,26,1,91.06091169,-8.378,13.465
3,87,26,1,318.2892427,-8.245,13.176
4,88,26,1,90,-11.927,19.989
4,88,26,1,337.5572466,-11.796,19.804
1,89,27,1,106.5348379,-6.68,4.364
1,89,27,1,329.5344551,-6.503,4.112
2,90,27,3,103.0693179,-10.437,10.087
2,90,27,3,344.9315118,-10.19,9.831
1,91,28,3,109.1481375,-17.041,-20.649
1,91,28,3,249.145542,-17.045,-21.202
3,92,28,1,264.8055711,-21.874,-6.408
3,92,28,1,117.3498758,-21.91,-6.073
2,93,28,1,266.4236656,-21.459,-8.836
2,93,28,1,129.9363831,-21.564,-8.403
1,94,29,1,144.1178628,-28.049,-50.042
1,94,29,1,261.702855,-27.77,-50.673
2,95,29,1,127.568592,-30.93,-41.229
2,95,29,1,256.2637317,-30.803,-41.945
3,96,29,1,124.6409475,-33.041,-31.075
3,96,29,1,254.4071891,-32.908,-31.852
4,97,29,1,147.3807569,-34.394,-23.245
4,97,29,1,255.4655449,-34.303,-23.852
1,98,30,3,71.87813975,-38.977,-42.705
1,98,30,3,284.8586144,-39.014,-44.845
2,99,30,3,76.9306821,-38.81,-33.105
2,99,30,3,281.496563,-38.875,-34.539
1,100,31,3,92.24574257,-37.084,-17.888
1,100,31,3,257.6919842,-37.157,-18.921
1,101,32,1,20.07152586,-34.037,-13.757
1,101,32,1,254.8989018,-34.367,-14.184
1,102,33,1,99.92624551,-35.17,-10.177
1,102,33,1,225.7638985,-35.317,-10.62
2,103,33,1,80.53767779,-27.309,-1.016
2,103,33,1,205.0168935,-27.519,-1.342
3,104,33,2,81.46923439,-23.963,2.71
3,104,33,2,211.2637317,-24.134,2.411
4,105,33,2,72.29957221,-24.107,2.846
4,105,33,2,226.9091524,-24.34,2.427
5,106,33,1,75.32360686,-20.683,7.182
5,106,33,1,205.1148349,-20.943,6.829
6,107,33,1,83.51692631,-17.096,12.042
6,107,33,1,219.4006607,-17.294,11.689
1,108,34,1,72.55281158,-41.293,-6.551
1,108,34,1,201.8014095,-41.594,-6.867
2,109,34,1,85.31410016,-39.168,-3.844
2,109,34,1,216.573031,-39.411,-4.407
3,110,34,1,51.95295747,-32.651,1.644
3,110,34,1,174.9203921,-33.19,1.363
4,111,34,1,86.72951208,-28.789,6.375
4,111,34,1,197.3540246,-29.012,6.04
5,112,34,1,111.8014095,-28.236,8.476
5,112,34,1,230.7105931,-28.284,8.107
6,113,34,1,52.22431569,-22.107,14.357
6,113,34,1,181.4688007,-22.563,14.119
1,114,35,2,105.2551187,-25.507,12.277
1,114,35,2,242.7004278,-25.561,11.853
2,115,35,2,108.82471,-24.533,18.255
2,115,35,2,232.1250163,-24.571,17.886
1,116,36,1,105.9453959,10.21,-0.486
1,116,36,1,227.2025982,10.151,-0.832
1,117,37,1,53.61564818,26.697,-75.866
1,117,37,1,284.349332,26.631,-76.181
1,118,38,1,313.5855768,64.952,-89.465
1,118,38,1,234.2933086,64.199,-89.18
1,119,39,1,210.379126,64.557,-83.599
1,119,39,1,315.5256346,65.376,-83.709
2,120,39,1,224.3097228,58.419,-80.488
2,120,39,1,306.0760116,59.214,-80.664
3,121,39,1,207.5820292,52.445,-77.928
3,121,39,1,306.7592882,53.348,-78.268
4,122,39,1,193.5704344,46.731,-75.284
4,122,39,1,306.326826,47.204,-75.532
1,123,40,1,87.45519562,-45.794,-81.428
1,123,40,1,211.5042667,-45.946,-81.769
1,124,41,1,117.5528116,-49.972,-91.423
